kid pa ma
M1_0 0 0
M1_1 0 0
F1_0 0 0
F1_1 0 0
F1_2 0 0
M1_2 0 0
F1_3 0 0
M1_3 0 0
M1_4 0 0
M1_5 0 0
F1_4 0 0
M1_6 0 0
F1_5 0 0
M1_7 0 0
M1_8 0 0
M1_9 0 0
F1_6 0 0
M1_10 0 0
M1_11 0 0
M1_12 0 0
F1_7 0 0
M1_13 0 0
M1_14 0 0
M1_15 0 0
F1_8 0 0
F1_9 0 0
M1_16 0 0
M1_17 0 0
F1_10 0 0
F1_11 0 0
M1_18 0 0
F1_12 0 0
M1_19 0 0
F1_13 0 0
F1_14 0 0
M1_20 0 0
M1_21 0 0
M1_22 0 0
F1_15 0 0
F1_16 0 0
F1_17 0 0
M1_23 0 0
M1_24 0 0
M1_25 0 0
F1_18 0 0
M1_26 0 0
F1_19 0 0
F1_20 0 0
F1_21 0 0
F1_22 0 0
M1_27 0 0
M1_28 0 0
F1_23 0 0
F1_24 0 0
F1_25 0 0
F1_26 0 0
F1_27 0 0
F1_28 0 0
F1_29 0 0
F1_30 0 0
M1_29 0 0
M1_30 0 0
F1_31 0 0
F1_32 0 0
F1_33 0 0
F1_34 0 0
F1_35 0 0
F1_36 0 0
M1_31 0 0
M1_32 0 0
F1_37 0 0
M1_33 0 0
M1_34 0 0
F1_38 0 0
F1_39 0 0
M1_35 0 0
M1_36 0 0
M1_37 0 0
F1_40 0 0
F1_41 0 0
F1_42 0 0
M1_38 0 0
F1_43 0 0
F1_44 0 0
M1_39 0 0
M1_40 0 0
F1_45 0 0
M1_41 0 0
M1_42 0 0
F1_46 0 0
F1_47 0 0
M1_43 0 0
F1_48 0 0
M1_44 0 0
M1_45 0 0
M1_46 0 0
F1_49 0 0
F1_50 0 0
F1_51 0 0
F1_52 0 0
F1_53 0 0
F1_54 0 0
M1_47 0 0
F1_55 0 0
M1_48 0 0
F1_56 0 0
M1_49 0 0
M1_50 0 0
M1_51 0 0
F1_57 0 0
F1_58 0 0
F1_59 0 0
M1_52 0 0
F1_60 0 0
M1_53 0 0
F1_61 0 0
M1_54 0 0
M1_55 0 0
M1_56 0 0
M1_57 0 0
F1_62 0 0
F1_63 0 0
M1_58 0 0
M1_59 0 0
M1_60 0 0
F1_64 0 0
F1_65 0 0
M1_61 0 0
M1_62 0 0
F1_66 0 0
F1_67 0 0
M1_63 0 0
M1_64 0 0
F1_68 0 0
M1_65 0 0
M1_66 0 0
M1_67 0 0
M1_68 0 0
M1_69 0 0
F1_69 0 0
M1_70 0 0
F1_70 0 0
F1_71 0 0
M1_71 0 0
F1_72 0 0
M1_72 0 0
F1_73 0 0
F1_74 0 0
F1_75 0 0
F1_76 0 0
M1_73 0 0
M1_74 0 0
M1_75 0 0
M1_76 0 0
F1_77 0 0
F1_78 0 0
F1_79 0 0
F1_80 0 0
M1_77 0 0
F1_81 0 0
F1_82 0 0
M1_78 0 0
F1_83 0 0
M1_79 0 0
F1_84 0 0
F1_85 0 0
M1_80 0 0
F1_86 0 0
M1_81 0 0
F1_87 0 0
M1_82 0 0
F1_88 0 0
F1_89 0 0
M1_83 0 0
M1_84 0 0
M1_85 0 0
M1_86 0 0
M1_87 0 0
M1_88 0 0
M1_89 0 0
F1_90 0 0
F1_91 0 0
F1_92 0 0
M1_90 0 0
F1_93 0 0
F1_94 0 0
M1_91 0 0
M1_92 0 0
F1_95 0 0
M1_93 0 0
F1_96 0 0
M1_94 0 0
M1_95 0 0
F1_97 0 0
F1_98 0 0
F1_99 0 0
M1_96 0 0
F1_100 0 0
F1_101 0 0
M1_97 0 0
F1_102 0 0
F1_103 0 0
F1_104 0 0
F1_105 0 0
M1_98 0 0
M1_99 0 0
M1_100 0 0
M1_101 0 0
F1_106 0 0
M1_102 0 0
M1_103 0 0
F1_107 0 0
M1_104 0 0
M1_105 0 0
F1_108 0 0
M1_106 0 0
M1_107 0 0
M1_108 0 0
M1_109 0 0
M1_110 0 0
F1_109 0 0
F1_110 0 0
F1_111 0 0
M1_111 0 0
M1_112 0 0
M1_113 0 0
M1_114 0 0
F1_112 0 0
F1_113 0 0
F1_114 0 0
F1_115 0 0
F1_116 0 0
F1_117 0 0
F1_118 0 0
F1_119 0 0
F1_120 0 0
F1_121 0 0
M1_115 0 0
M1_116 0 0
M1_117 0 0
F1_122 0 0
M1_118 0 0
F1_123 0 0
M1_119 0 0
F1_124 0 0
F1_125 0 0
F1_126 0 0
F1_127 0 0
M1_120 0 0
M1_121 0 0
F1_128 0 0
F1_129 0 0
M1_122 0 0
F1_130 0 0
F1_131 0 0
M1_123 0 0
F1_132 0 0
M1_124 0 0
F1_133 0 0
F1_134 0 0
F1_135 0 0
M1_125 0 0
M1_126 0 0
F1_136 0 0
F1_137 0 0
F1_138 0 0
F1_139 0 0
F1_140 0 0
M1_127 0 0
M1_128 0 0
F1_141 0 0
F1_142 0 0
M1_129 0 0
F1_143 0 0
M1_130 0 0
F1_144 0 0
M1_131 0 0
F1_145 0 0
F1_146 0 0
F1_147 0 0
M1_132 0 0
F1_148 0 0
F1_149 0 0
M1_133 0 0
M1_134 0 0
M1_135 0 0
M1_136 0 0
M1_137 0 0
F1_150 0 0
F1_151 0 0
F1_152 0 0
M1_138 0 0
F1_153 0 0
M1_139 0 0
M1_140 0 0
F1_154 0 0
M1_141 0 0
M1_142 0 0
M1_143 0 0
F1_155 0 0
F1_156 0 0
F1_157 0 0
M1_144 0 0
M1_145 0 0
M1_146 0 0
F1_158 0 0
F1_159 0 0
M1_147 0 0
M1_148 0 0
M1_149 0 0
M1_150 0 0
M1_151 0 0
M1_152 0 0
F1_160 0 0
F1_161 0 0
F1_162 0 0
F1_163 0 0
M1_153 0 0
F1_164 0 0
M1_154 0 0
M1_155 0 0
M1_156 0 0
F1_165 0 0
F1_166 0 0
F1_167 0 0
F1_168 0 0
M1_157 0 0
F1_169 0 0
F1_170 0 0
F1_171 0 0
F1_172 0 0
F1_173 0 0
M1_158 0 0
M1_159 0 0
F1_174 0 0
F1_175 0 0
M1_160 0 0
F1_176 0 0
M1_161 0 0
M1_162 0 0
M1_163 0 0
M1_164 0 0
M1_165 0 0
F1_177 0 0
F1_178 0 0
M1_166 0 0
F1_179 0 0
F1_180 0 0
F1_181 0 0
F1_182 0 0
F1_183 0 0
F1_184 0 0
F1_185 0 0
F1_186 0 0
M1_167 0 0
F1_187 0 0
F1_188 0 0
F1_189 0 0
M1_168 0 0
M1_169 0 0
F1_190 0 0
M1_170 0 0
F1_191 0 0
M1_171 0 0
F1_192 0 0
F1_193 0 0
F1_194 0 0
F1_195 0 0
M1_172 0 0
M1_173 0 0
M1_174 0 0
F1_196 0 0
F1_197 0 0
F1_198 0 0
F1_199 0 0
F1_200 0 0
M1_175 0 0
M1_176 0 0
M1_177 0 0
M1_178 0 0
F1_201 0 0
M1_179 0 0
M1_180 0 0
F1_202 0 0
M1_181 0 0
F1_203 0 0
M1_182 0 0
M1_183 0 0
F1_204 0 0
F1_205 0 0
F1_206 0 0
M1_184 0 0
M1_185 0 0
F1_207 0 0
F1_208 0 0
M1_186 0 0
M1_187 0 0
M1_188 0 0
F1_209 0 0
M1_189 0 0
F1_210 0 0
M1_190 0 0
F1_211 0 0
F1_212 0 0
F1_213 0 0
M1_191 0 0
M1_192 0 0
F1_214 0 0
M1_193 0 0
M1_194 0 0
M1_195 0 0
F1_215 0 0
M1_196 0 0
F1_216 0 0
F1_217 0 0
M1_197 0 0
M1_198 0 0
F1_218 0 0
F1_219 0 0
F1_220 0 0
M1_199 0 0
M1_200 0 0
M1_201 0 0
F1_221 0 0
F1_222 0 0
F1_223 0 0
F1_224 0 0
M1_202 0 0
M1_203 0 0
M1_204 0 0
M1_205 0 0
M1_206 0 0
F1_225 0 0
F1_226 0 0
M1_207 0 0
M1_208 0 0
M1_209 0 0
M1_210 0 0
F1_227 0 0
M1_211 0 0
F1_228 0 0
M1_212 0 0
F1_229 0 0
F1_230 0 0
M1_213 0 0
M1_214 0 0
M1_215 0 0
M1_216 0 0
M1_217 0 0
F1_231 0 0
F1_232 0 0
M1_218 0 0
F1_233 0 0
F1_234 0 0
M1_219 0 0
M1_220 0 0
F1_235 0 0
M1_221 0 0
F1_236 0 0
M1_222 0 0
F1_237 0 0
F1_238 0 0
M1_223 0 0
F1_239 0 0
F1_240 0 0
F1_241 0 0
M1_224 0 0
F1_242 0 0
F1_243 0 0
F1_244 0 0
M1_225 0 0
F1_245 0 0
M1_226 0 0
M1_227 0 0
M1_228 0 0
F1_246 0 0
M1_229 0 0
F1_247 0 0
M1_230 0 0
M1_231 0 0
F1_248 0 0
F1_249 0 0
M1_232 0 0
M1_233 0 0
M1_234 0 0
F1_250 0 0
M1_235 0 0
F1_251 0 0
F1_252 0 0
F1_253 0 0
F1_254 0 0
M1_236 0 0
F1_255 0 0
M1_237 0 0
M1_238 0 0
M1_239 0 0
M1_240 0 0
M1_241 0 0
M1_242 0 0
F1_256 0 0
F1_257 0 0
F1_258 0 0
F1_259 0 0
F1_260 0 0
M1_243 0 0
F1_261 0 0
F1_262 0 0
F1_263 0 0
F1_264 0 0
F1_265 0 0
F1_266 0 0
F1_267 0 0
M1_244 0 0
M1_245 0 0
F1_268 0 0
M1_246 0 0
M1_247 0 0
F1_269 0 0
F1_270 0 0
F1_271 0 0
M1_248 0 0
M1_249 0 0
M1_250 0 0
F1_272 0 0
F1_273 0 0
F1_274 0 0
M1_251 0 0
M1_252 0 0
F1_275 0 0
F1_276 0 0
F1_277 0 0
F1_278 0 0
M1_253 0 0
M1_254 0 0
F1_279 0 0
M1_255 0 0
F1_280 0 0
M1_256 0 0
M1_257 0 0
M1_258 0 0
M1_259 0 0
M1_260 0 0
F1_281 0 0
F1_282 0 0
M1_261 0 0
F1_283 0 0
F1_284 0 0
M1_262 0 0
F1_285 0 0
F1_286 0 0
F1_287 0 0
F1_288 0 0
F1_289 0 0
F1_290 0 0
M1_263 0 0
F1_291 0 0
M1_264 0 0
F1_292 0 0
F1_293 0 0
M1_265 0 0
F1_294 0 0
M1_266 0 0
M1_267 0 0
F1_295 0 0
F1_296 0 0
F1_297 0 0
M1_268 0 0
F1_298 0 0
F1_299 0 0
M1_269 0 0
M1_270 0 0
M1_271 0 0
M1_272 0 0
M1_273 0 0
F1_300 0 0
M1_274 0 0
M1_275 0 0
F1_301 0 0
M1_276 0 0
F1_302 0 0
M1_277 0 0
M1_278 0 0
F1_303 0 0
M1_279 0 0
F1_304 0 0
F1_305 0 0
M1_280 0 0
F1_306 0 0
M1_281 0 0
F1_307 0 0
M1_282 0 0
F1_308 0 0
M1_283 0 0
F1_309 0 0
F1_310 0 0
F1_311 0 0
F1_312 0 0
M1_284 0 0
M1_285 0 0
F1_313 0 0
M1_286 0 0
F1_314 0 0
M1_287 0 0
M1_288 0 0
F1_315 0 0
F1_316 0 0
F1_317 0 0
F1_318 0 0
F1_319 0 0
F1_320 0 0
M1_289 0 0
M1_290 0 0
M1_291 0 0
F1_321 0 0
M1_292 0 0
M1_293 0 0
F1_322 0 0
F1_323 0 0
M1_294 0 0
F1_324 0 0
F1_325 0 0
F1_326 0 0
F1_327 0 0
F1_328 0 0
F1_329 0 0
M1_295 0 0
F1_330 0 0
F1_331 0 0
F1_332 0 0
M1_296 0 0
F1_333 0 0
F1_334 0 0
F1_335 0 0
M1_297 0 0
M1_298 0 0
M1_299 0 0
M1_300 0 0
F1_336 0 0
M1_301 0 0
M1_302 0 0
M1_303 0 0
F1_337 0 0
M1_304 0 0
M1_305 0 0
F1_338 0 0
F1_339 0 0
F1_340 0 0
F1_341 0 0
M1_306 0 0
M1_307 0 0
F1_342 0 0
M1_308 0 0
F1_343 0 0
F1_344 0 0
M1_309 0 0
M1_310 0 0
F1_345 0 0
M1_311 0 0
M1_312 0 0
F1_346 0 0
F1_347 0 0
M1_313 0 0
F1_348 0 0
F1_349 0 0
M1_314 0 0
M1_315 0 0
F1_350 0 0
F1_351 0 0
M1_316 0 0
M1_317 0 0
F1_352 0 0
F1_353 0 0
F1_354 0 0
F1_355 0 0
M1_318 0 0
F1_356 0 0
F1_357 0 0
F1_358 0 0
F1_359 0 0
M1_319 0 0
M1_320 0 0
M1_321 0 0
F1_360 0 0
F1_361 0 0
M1_322 0 0
M1_323 0 0
F1_362 0 0
F1_363 0 0
M1_324 0 0
F1_364 0 0
F1_365 0 0
M1_325 0 0
M1_326 0 0
F1_366 0 0
F1_367 0 0
M1_327 0 0
F1_368 0 0
M1_328 0 0
M1_329 0 0
M1_330 0 0
F1_369 0 0
F1_370 0 0
F1_371 0 0
F1_372 0 0
M1_331 0 0
M1_332 0 0
M1_333 0 0
F1_373 0 0
F1_374 0 0
M1_334 0 0
M1_335 0 0
M1_336 0 0
M1_337 0 0
M1_338 0 0
F1_375 0 0
M1_339 0 0
F1_376 0 0
F1_377 0 0
F1_378 0 0
M1_340 0 0
M1_341 0 0
F1_379 0 0
F1_380 0 0
F1_381 0 0
F1_382 0 0
M1_342 0 0
F1_383 0 0
F1_384 0 0
F1_385 0 0
M1_343 0 0
M1_344 0 0
F1_386 0 0
F1_387 0 0
F1_388 0 0
M1_345 0 0
M1_346 0 0
F1_389 0 0
F1_390 0 0
F1_391 0 0
M1_347 0 0
M1_348 0 0
M1_349 0 0
M1_350 0 0
F1_392 0 0
M1_351 0 0
F1_393 0 0
F1_394 0 0
F1_395 0 0
F1_396 0 0
M1_352 0 0
M1_353 0 0
F1_397 0 0
F1_398 0 0
M1_354 0 0
F1_399 0 0
F1_400 0 0
F1_401 0 0
M1_355 0 0
F1_402 0 0
F1_403 0 0
M1_356 0 0
F1_404 0 0
F1_405 0 0
M1_357 0 0
M1_358 0 0
M1_359 0 0
F1_406 0 0
F1_407 0 0
F1_408 0 0
M1_360 0 0
M1_361 0 0
F1_409 0 0
M1_362 0 0
F1_410 0 0
M1_363 0 0
M1_364 0 0
M1_365 0 0
F1_411 0 0
F1_412 0 0
M1_366 0 0
F1_413 0 0
M1_367 0 0
M1_368 0 0
M1_369 0 0
F1_414 0 0
M1_370 0 0
F1_415 0 0
F1_416 0 0
M1_371 0 0
M1_372 0 0
F1_417 0 0
F1_418 0 0
M1_373 0 0
M1_374 0 0
F1_419 0 0
F1_420 0 0
M1_375 0 0
F1_421 0 0
M1_376 0 0
M1_377 0 0
F1_422 0 0
F1_423 0 0
F1_424 0 0
M1_378 0 0
M1_379 0 0
F1_425 0 0
F1_426 0 0
M1_380 0 0
F1_427 0 0
F1_428 0 0
M1_381 0 0
M1_382 0 0
F1_429 0 0
F1_430 0 0
M1_383 0 0
M1_384 0 0
M1_385 0 0
M1_386 0 0
M1_387 0 0
M1_388 0 0
M1_389 0 0
M1_390 0 0
M1_391 0 0
F1_431 0 0
M1_392 0 0
M1_393 0 0
F1_432 0 0
M1_394 0 0
M1_395 0 0
F1_433 0 0
M1_396 0 0
F1_434 0 0
F1_435 0 0
F1_436 0 0
M1_397 0 0
M1_398 0 0
M1_399 0 0
M1_400 0 0
F1_437 0 0
M1_401 0 0
M1_402 0 0
F1_438 0 0
F1_439 0 0
M1_403 0 0
M1_404 0 0
M1_405 0 0
F1_440 0 0
F1_441 0 0
F1_442 0 0
M1_406 0 0
F1_443 0 0
M1_407 0 0
F1_444 0 0
M1_408 0 0
F1_445 0 0
M1_409 0 0
M1_410 0 0
M1_411 0 0
M1_412 0 0
F1_446 0 0
F1_447 0 0
M1_413 0 0
F1_448 0 0
M1_414 0 0
M1_415 0 0
M1_416 0 0
M1_417 0 0
M1_418 0 0
F1_449 0 0
F1_450 0 0
M1_419 0 0
F1_451 0 0
M1_420 0 0
M1_421 0 0
F1_452 0 0
F1_453 0 0
M1_422 0 0
F1_454 0 0
F1_455 0 0
F1_456 0 0
F1_457 0 0
F1_458 0 0
M1_423 0 0
M1_424 0 0
F1_459 0 0
M1_425 0 0
F1_460 0 0
F1_461 0 0
F1_462 0 0
M1_426 0 0
F1_463 0 0
F1_464 0 0
F1_465 0 0
M1_427 0 0
M1_428 0 0
F1_466 0 0
F1_467 0 0
F1_468 0 0
M1_429 0 0
F1_469 0 0
F1_470 0 0
F1_471 0 0
F1_472 0 0
F1_473 0 0
F1_474 0 0
M1_430 0 0
M1_431 0 0
F1_475 0 0
F1_476 0 0
F1_477 0 0
M1_432 0 0
F1_478 0 0
M1_433 0 0
F1_479 0 0
M1_434 0 0
M1_435 0 0
M1_436 0 0
M1_437 0 0
F1_480 0 0
M1_438 0 0
M1_439 0 0
M1_440 0 0
F1_481 0 0
M1_441 0 0
M1_442 0 0
F1_482 0 0
M1_443 0 0
M1_444 0 0
F1_483 0 0
